taxa	scientific_name	rank
Chamaepinnularia soehrensis var. hassiaca	Chamaepinnularia soehrensis var. hassiaca (Krasske) Lange-Bert.	VARIETY
Chamaepinnularia soehrensis var. muscicola	Chamaepinnularia soehrensis var. muscicola (Petersen) Lange-Bertalot & Krammer, 1996	VARIETY
Chamaepinnularia soehrensis var. soehrensis	Chamaepinnularia soehrensis (Krasske) Lange-Bertalot & Krammer, 1996	SPECIES
Chamaepinnularia submuscicola	Chamaepinnularia submuscicola (Krasske) H.Lange-Bertalot, 1998	SPECIES
Cocconeis	Cocconeis C.G.Ehrenberg, 1837	GENUS
Cocconeis disculus	Cocconeis disculus (Schumann) Cleve, 1882	SPECIES
Cocconeis euglyptoides	Cocconeis euglyptoides (Geitler) H.Lange-Bertalot, 2004	SPECIES
Cocconeis neodiminuta	Cocconeis neodiminuta Krammer, 1990	SPECIES
Cocconeis neothumensis	Cocconeis neothumensis Krammer, 1991	SPECIES
Cocconeis pediculus	Cocconeis pediculus Ehrenberg, 1838	SPECIES
Cocconeis placentula	Cocconeis placentula Ehrenberg, 1838	SPECIES
Cocconeis placentula var. euglypta	Cocconeis placentula var. euglypta (Ehrenb.) Cleve	VARIETY
Cocconeis placentula var. intermedia	Cocconeis placentula var. intermedia (Héribaud & M.Peragallo) Cleve, 1895	VARIETY
Cocconeis placentula var. klinoraphis	Cocconeis placentula var. klinoraphis Geitler, 1927	VARIETY
Cocconeis placentula var. lineata	Cocconeis placentula var. lineata (Ehrenberg) van Heurck, 1885	VARIETY
Cocconeis placentula var. placentula	Cocconeis placentula var. placentula	VARIETY
Cocconeis placentula var. pseudolineata	Cocconeis placentula var. pseudolineata Geitler, 1927	VARIETY
Cocconeis placentula var. rouxii	Cocconeis placentula var. rouxii (Héribaud-Joseph & Brun) Cleve, 1895	VARIETY
Cocconeis placentula var. tenuistriata	Cocconeis placentula var. tenuistriata Geitler, 1932	VARIETY
Cocconeis pseudolineata	Cocconeis pseudolineata (Geitler) Lange-Bertalot, 2004	SPECIES
Cocconeis pseudothumensis	Cocconeis pseudothumensis Reichardt, 1982	SPECIES
Cocconeis scutellum	Cocconeis scutellum Ehrenberg, 1838	SPECIES
Cocconeis scutellum var. parva	Cocconeis scutellum var. parva (Grunow) Cleve, 1895	VARIETY
Cocconeis scutellum var. scutellum	Cocconeis scutellum var. scutellum	VARIETY
Cocconeis stauroneiformis	Cocconeis stauroneiformis (W.Smith) H.Okuno, 1957	SPECIES
Conticribra	Conticribra K.Stachura-Suchoples & D.M.Williams, 2009	GENUS
Conticribra weissflogii	Conticribra weissflogii (Grunow) K.Stachura-Suchoples & D.M.Williams, 2009	SPECIES
Coscinodiscoideae	-	-
Coscinodiscopsis commutata	Coscinodiscopsis commutata (Grunow) E.A.Sar & I.Sunesen, 2008	SPECIES
Coscinodiscus	Coscinodiscus C.G.Ehrenberg, 1839	GENUS
Coscinodiscus granii	Coscinodiscus granii Gough, 1905	SPECIES
Coscinodiscus lacustris	Coscinodiscus lacustris Grunow	SPECIES
Coscinodiscus radiatus	Coscinodiscus radiatus J.W.Bailey, 1842	SPECIES
Cosmioneis	Cosmioneis D.G.Mann & A.J.Stickle, 1990	GENUS
Cosmioneis incognita	Cosmioneis incognita (Krasske) H.Lange-Bertalot, 2004	SPECIES
Cosmioneis lundstroemii	Cosmioneis lundstroemii Round et al., 1990	SPECIES
Cosmioneis pusilla	Cosmioneis pusilla (W.Smith) D.G.Mann & A.J.Stickle, 1990	SPECIES
Craticula	-	-
Craticula accomoda	Craticula accomoda (Hustedt) D.G.Mann, 1990	SPECIES
Craticula acidoclinata	Craticula acidoclinata Lange-Bertalot & Metzeltin, 1996	SPECIES
Craticula ambigua	Craticula ambigua (Ehrenberg) D.G.Mann, 1990	SPECIES
Craticula buderi	Craticula buderi (Hustedt) Lange-Bertalot, 2000	SPECIES
Craticula citrus	Craticula citrus (Krasske) Reichardt, 1997	SPECIES
Craticula cuspidata	Craticula cuspidata (Kutzing) D.G.Mann, 1990	SPECIES
Craticula dissociata	Craticula dissociata (E.Reichardt) E.Reichardt, 1997	SPECIES
Craticula halophila	Craticula halophila (Grunow) D.G.Mann, 1990	SPECIES
Craticula halophiloides	Craticula halophilioides (Hustedt) Lange-Bertalot, 2001	SPECIES
Craticula minusculoides	Craticula minusculoides (Hustedt) Lange-Bertalot, 2001	SPECIES
Craticula molestiformis	Craticula molestiformis (Hust.) Lange-Bert.	SPECIES
Craticula riparia	Craticula riparia (Hustedt) Lange-Bertalot, 1993	SPECIES
Craticula riparia var. mollenhaueri	Craticula riparia var. mollenhaueri Lange-Bertalot, 1993	VARIETY
Craticula riparia var. riparia	Craticula riparia var. riparia	VARIETY
Craticula submolesta	Craticula submolesta (Hustedt) Lange-Bertalot, 1996	SPECIES
Craticula vixnegligenda	Craticula vixnegligenda Lange-Bertalot, 1993	SPECIES
Ctenophora	-	-
Ctenophora pulchella	Ctenophora pulchella De Toni, 1892	SPECIES
Cyclostephanos	Cyclostephanos F.E.Round ex Theriot, Hakansson, Kociolek, Round & Stoermer, 1987	GENUS
Cyclostephanos delicatus	Cyclostephanos delicatus (S.I.Genkel) S.J.Casper & W.Scheffler, 1990	SPECIES
Cyclostephanos dubius	Cyclostephanos dubius (Hustedt) Round, 1988	SPECIES
Cyclostephanos invisitatus	Cyclostephanos invisitatus (Hohn & Hellermann) Theriot, Stoermer & Håkasson, 1988	SPECIES
Cyclotella	Cyclotella (F.T.Kützing) A.de Brébisson, 1838	GENUS
Cyclotella atomus	Cyclotella atomus Hustedt, 1937	SPECIES
Cyclotella atomus var. atomus	Cyclotella atomus var. atomus	VARIETY
Cyclotella atomus var. gracilis	Cyclotella atomus var. gracilis Genkal & Kiss, 1993	VARIETY
Cyclotella austriaca	Cyclotella austriaca (M.Peragallo, Handmann & Schiedler) Hustedt, 1948	SPECIES
Cyclotella balatonis	Cyclotella balatonis Pantocsek, 1901	SPECIES
Cyclotella bodanica	Cyclotella bodanica Eulenstein ex Grunow, 1878	SPECIES
Cyclotella bodanica var. bodanica	Cyclotella bodanica var. bodanica	VARIETY
Cyclotella bodanica var. lemanica	Cyclotella bodanica var. lemanica (O.Müll. ex Schroter) H.Bachm.	VARIETY
Cyclotella caspia	Cyclotella caspia Grunow, 1878	SPECIES
Cyclotella choctawhatcheeana	Cyclotella choctawhatcheeana Prasad, 1990	SPECIES
Cyclotella comensis	Cyclotella comensis Grunow, 1882	SPECIES
Cyclotella comensis Grunow Morphotyp pseudocomensis	Cyclotella comensis Grunow, 1882	SPECIES
Cyclotella comta	Cyclotella comta Skabichevskii, 1960	SPECIES
Cyclotella costei	Cyclotella costei Druart & Straub, 1988	SPECIES
Cyclotella cyclopuncta	Cyclotella cyclopuncta Håkansson & J.R.Carter, 1990	SPECIES
Cyclotella delicatula	Cyclotella delicatula Genkal, 1994	SPECIES
Cyclotella distinguenda	Cyclotella distinguenda Hustedt, 1928	SPECIES
Cyclotella distinguenda var. mesoleia	Cyclotella distinguenda var. mesoleia (Grunow) Håk.	VARIETY
Cyclotella distinguenda var. unipunctata	Cyclotella distinguenda var. unipunctata (Hustedt) Håkansson & J.R.Carter, 1990	VARIETY
Cyclotella glabriuscula	Cyclotella glabriuscula (Grunow) Håkansson, 1988	SPECIES
Cyclotella glomerata	Cyclotella glomerata H.Bachmann, 1911	SPECIES
Cyclotella hakanssoniae	Cyclotella hakanssoniae Wendker, 1991	SPECIES
Cyclotella hinziae	Cyclotella hinziae Houk, König & Klee, 2015	SPECIES
Cyclotella intermedia	Cyclotella (F.T.Kützing) A.de Brébisson, 1838	GENUS
Cyclotella iris	Cyclotella iris Brun & Héribaud-Joseph	SPECIES
Cyclotella krammeri	Cyclotella krammeri Håkansson, 1990	SPECIES
Cyclotella kuetzingiana	Cyclotella kuetzingiana W.Smith, 1853	SPECIES
Cyclotella lemanensis	Cyclotella lemanensis (Otto Müller) Lemmerman, 1900	SPECIES
Cyclotella meduanae	Cyclotella meduanae Germain, 1981	SPECIES
Cyclotella melosiroides	Cyclotella melosiroides (Kirchner) Lemmermann, 1900	SPECIES
Cyclotella meneghiniana	Cyclotella meneghiniana Kützing, 1844	SPECIES
Cyclotella ocellata	Cyclotella ocellata Pantocsek, 1901	SPECIES
Cyclotella planctonica	Cyclotella planctonica Brunnthaler, 1901	SPECIES
Cyclotella plitvicensis	Cyclotella plitvicensis Hustedt, 1945	SPECIES
Cyclotella praetermissa	Cyclotella praetermissa Lund, 1951	SPECIES
Cyclotella pseudocomensis	Cyclotella pseudocomensis Scheffler, 1994	SPECIES
Cyclotella pseudostelligera	Cyclotella pseudostelligera Hustedt, 1939	SPECIES
Cyclotella quadrijuncta	Cyclotella quadrijuncta (Schröter) von Keissler, 1910	SPECIES
Cyclotella radiosa	Cyclotella radiosa Grunow	SPECIES
Cyclotella rossii	Cyclotella rossii Håkansson, 1990	SPECIES
Cyclotella scaldensis	Cyclotella scaldensis Muylaert & Sabbe, 1996	SPECIES
Cyclotella schroeteri	Cyclotella schroeteri	SPECIES
Cyclotella schumannii	Cyclotella schumannii (Grunow) Håk.	SPECIES
Cyclotella socialis	Cyclotella socialis Schütt, 1899	SPECIES
Cyclotella stelligera	Cyclotella stelligera Cleve & Grunow, 1882	SPECIES
Cyclotella striata	Cyclotella striata (Kützing) Grunow, 1880	SPECIES
Cyclotella stylorum	Cyclotella stylorum Brightwell, 1860	SPECIES
Cyclotella styriaca	Cyclotella styriaca Hustedt, 1942	SPECIES
Cyclotella tenuistriata	Cyclotella tenuistriata Hustedt, 1952	SPECIES
Cyclotella tripartita	Cyclotella tripartita Håkansson, 1990	SPECIES
Cyclotella woltereckii	Cyclotella woltereckii Hustedt, 1942	SPECIES
Cyclotella wuethrichiana	Cyclotella wuethrichiana Druart & Straub, 1988	SPECIES
Cylindrotheca	Cylindrotheca L.Rabenhorst, 1859	GENUS
Cylindrotheca closterium	Cylindrotheca closterium (Ehrenberg) Reimann & J.C.Lewin, 1964	SPECIES
Cylindrotheca gracilis	Cylindrotheca gracilis (Brébisson ex Kützing) Grunow, 1882	SPECIES
Cymatopleura	Cymatopleura W.Smith, 1851	GENUS
Cymatopleura elliptica	Cymatopleura elliptica (Brébisson) W.Smith, 1851	SPECIES
Cymatopleura elliptica var. elliptica	Cymatopleura elliptica var. elliptica	VARIETY
Cymatopleura elliptica var. hibernica	Cymatopleura elliptica var. hibernica (W.Smith) Hustedt	VARIETY
Cymatopleura solea	Cymatopleura solea Van Heurck, 1881	SPECIES
Cymatopleura solea var. apiculata	Cymatopleura solea var. apiculata (W.Smith) Ralfs, 1861	VARIETY
Cymatopleura solea var. solea	Cymatopleura solea var. solea	VARIETY
Cymatosira	Cymatosira A.Grunow, 1862	GENUS
Cymatosira belgica	Cymatosira belgica Grunow, 1881	SPECIES
Cymbella	-	-
Cymbella aequalis	Cymbella aequalis W.Smith, 1855	SPECIES
Cymbella affiniformis	Cymbella affiniformis Krammer, 2002	SPECIES
Cymbella affinis	Cymbella affinis Kützing, 1844	SPECIES
Cymbella affinis (2002)	Cymbella affinis Kützing, 1844	SPECIES
Cymbella affinis 1	Cymbella affinis Kützing, 1844	SPECIES
Cymbella affinis 2	Cymbella affinis Kützing, 1844	SPECIES
Cymbella alpestris	Cymbella alpestris Krammer, 2002	SPECIES
Cymbella alpina	Cymbella alpina	SPECIES
Cymbella amphicephala	Cymbella amphicephala Näegeli, 1849	SPECIES
Cymbella amphicephala var. amphicephala	Cymbella amphicephala var. amphicephala	VARIETY
Cymbella amphicephala var. hercynica	Cymbella amphicephala var. hercynica (A.Schmidt) Cleve, 1894	VARIETY
Cymbella amphioxys	Cymbella amphioxys Cleve, 1894	SPECIES
Cymbella ancyli	Cymbella ancyli Cleve, 1902	SPECIES
Cymbella angustata	Cymbella angustata (W.Smith) Cleve, 1894	SPECIES
Cymbella arctica	Cymbella arctica (Lagerstedt) Schmidt, 1875	SPECIES
Cymbella aspera	Cymbella aspera (Ehrenberg) Cleve, 1894	SPECIES
Cymbella austriaca	Cymbella austriaca Meister, 1912	SPECIES
Cymbella austriaca var. austriaca	Cymbella austriaca var. austriaca	VARIETY
Cymbella austriaca var. erdoebenyiana	Cymbella austriaca var. erdoebenyiana (Pant.) Krammer, 1985	VARIETY
Cymbella brehmii	Cymbella brehmi Hustedt, 1912	SPECIES
Cymbella caespitosa	Cymbella caespitosa (Kützing) Schutt, 1896	SPECIES
Cymbella cantonatii	Cymbella cantonatii Lange-Bertalot, 2002	SPECIES
Cymbella cesatii	Cymbella cesatii (Rabenh.) Grunow ex A.W.F.Schmidt	SPECIES
Cymbella cesatii var. cesatii	Cymbella cesatii var. cesatii	VARIETY
Cymbella cesatii var. paradoxa	Cymbella cesatii var. paradoxa Geitler, 1975	VARIETY
Cymbella cistula	Cymbella cistula Schmidt, 1875	SPECIES
Cymbella compacta	Cymbella compacta Østrup, 1910	SPECIES
Cymbella cuspidata	Cymbella cuspidata Kützing, 1844	SPECIES
Cymbella cymbiformis	Cymbella cymbiformis C.Agardh, 1830	SPECIES
Cymbella cymbiformis var. cymbiformis	Cymbella cymbiformis var. cymbiformis	VARIETY
Cymbella cymbiformis var. nonpunctata	Cymbella cymbiformis var. nonpunctata Fontell, 1917	VARIETY
Cymbella delicatula	Cymbella delicatula Kützing, 1849	SPECIES
Cymbella descripta	Cymbella descripta (Hustedt) Krammer & Lange-Bertalot, 1985	SPECIES
Cymbella dorsenotata	Cymbella dorsenotata Østrup, 1910	SPECIES
Cymbella ehrenbergii	Cymbella ehrenbergi Kützing, 1844	SPECIES
Cymbella elginensis	Cymbella elginensis Krammer, 1980	SPECIES
Cymbella excisa	Cymbella excisa Schmidt, 1881	SPECIES
Cymbella excisa var. excisa	Cymbella excisa var. excisa	VARIETY
Cymbella excisa var. procera	Cymbella excisa var. procera Krammer, 2002	VARIETY
Cymbella excisiformis	Cymbella excisiformis Krammer, 2002	SPECIES
Cymbella falaisensis	Cymbella falaisensis (Grunow) Krammer & Lange-Bertalot, 1985	SPECIES
Cymbella gaeumannii	Cymbella gaeumannii Meister, 1934	SPECIES
Cymbella gracilis	Cymbella gracilis Wang	SPECIES
Cymbella halophila	Cymbella halophila Krammer, 2002	SPECIES
Cymbella hantzschiana	Cymbella hantzschiana Krammer, 2002	SPECIES
Cymbella hauckii	Cymbella hauckii van Heurck, 1887	SPECIES
Cymbella hebridica	Cymbella hebridica (Grunow) Cleve, 1894	SPECIES
Cymbella helmckei	Cymbella helmckei Krammer, 1982	SPECIES
Cymbella helvetica	Cymbella helvetica Schmidt, 1881	SPECIES
Cymbella helvetica var. compacta	Cymbella helvetica var. compacta (Østrup) Hustedt, 1955	VARIETY
Cymbella helvetica var. helvetica	Cymbella helvetica var. helvetica	VARIETY
Cymbella heteropleura	Cymbella heteropleura (Ehrenberg) Kützing, 1844	SPECIES
Cymbella hofmanniae	Cymbella hofmanniae Lange-Bertalot & Krammer, 2002	SPECIES
Cymbella hungarica	Cymbella hungarica (Grunow) Pantocsek, 1902	SPECIES
Cymbella hustedtii	Cymbella hustedtii Krasske, 1923	SPECIES
Cymbella hustedtii var. compacta	Cymbella hustedtii var. compacta Krammer, 2002	VARIETY
Cymbella hustedtii var. hustedtii	Cymbella hustedtii var. hustedtii	VARIETY
Cymbella hustedtii var. rhombica	Cymbella hustedtii var. rhombica Krammer, 2002	VARIETY
Cymbella hybrida	Cymbella hybrida Grunow ex Cleve, 1894	SPECIES
Cymbella hybrida var. hybrida	Cymbella hybrida var. hybrida	VARIETY
Cymbella hybrida var. lanceolata	Cymbella hybrida var. lanceolata Krammer, 1985	VARIETY
Cymbella incerta	Cymbella incerta Grunow, 1878	SPECIES
Cymbella incurvata	Cymbella incurvata Krammer, 2002	SPECIES
Cymbella kolbei var. angusta	Cymbella kolbei var. angusta Krammer, 2002	VARIETY
Cymbella lacustris	Cymbella lacustris (C.Agardh) Cleve, 1894	SPECIES
Cymbella laevis	Cymbella laevis Nägeli, 1863	SPECIES
Cymbella laevis var. laevis	Cymbella laevis var. laevis	VARIETY
Cymbella laevis var. lata	Cymbella laevis var. lata Krammer, 2002	VARIETY
Cymbella lanceolata	Bacillariophyceae	CLASS
Cymbella lanceolata var. bottnica	Cymbella lanceolata var. bottnica Krammer, 2002	VARIETY
Cymbella lanceolata var. lanceolata	Cymbella lanceolata var. lanceolata	VARIETY
Cymbella lancettula	Cymbella lancettula (Krammer) Krammer, 2002	SPECIES
Cymbella lange-bertalotii	Cymbella lange-bertalotii Krammer, 2002	SPECIES
Cymbella lapponica	Cymbella lapponica Grunow ex Cleve, 1894	SPECIES
Cymbella lata	Cymbella lata Grunow ex Cleve, 1894	SPECIES
Cymbella leptoceros	Cymbella leptoceros (Ehrenberg) Kützing, 1844	SPECIES
Cymbella mesiana	Cymbella mesiana Cholnoky, 1955	SPECIES
Cymbella microcephala	Cymbella microcephala Grunow, 1885	SPECIES
Cymbella minuta	Cymbella minuta Hilse, 1862	SPECIES
Cymbella naviculacea	Cymbella naviculacea Grunow, 1881	SPECIES
Cymbella naviculiformis	Cymbella naviculiformis Krenner, 1926	SPECIES
Cymbella neocistula	Cymbella neocistula Krammer, 2002	SPECIES
Cymbella neolanceolata	Cymbella neolanceolata W.da Silva, 2013	SPECIES
Cymbella neolanceolata var. bottnica	Cymbella neolanceolata W.da Silva, 2013	SPECIES
Cymbella neolanceolata var. neolanceolata	Cymbella neolanceolata W.da Silva, 2013	SPECIES
Cymbella neoleptoceros	Cymbella neoleptoceros Krammer, 2002	SPECIES
Cymbella neoleptoceros var. neoleptoceros	Cymbella neoleptoceros var. neoleptoceros	VARIETY
Cymbella neoleptoceros var. tenuistriata	Cymbella neoleptoceros var. tenuistriata Krammer, 2002	VARIETY
Cymbella norvegica	Cymbella norvegica Grunow, 1875	SPECIES
Cymbella obscura	Cymbella obscura Krasske, 1938	SPECIES
Cymbella parva	Cymbella parva (W.Sm.) Wolle	SPECIES
Cymbella paucistriata	Cymbella paucistriata Cleve-Euler, 1934	SPECIES
Cymbella peraspera	Cymbella peraspera Krammer, 2002	SPECIES
Cymbella percapitata	Cymbella percapitata Krammer, 2002	SPECIES
Cymbella perparva	Cymbella perparva Krammer, 2002	SPECIES
Cymbella perpusilla	Cymbella perpusilla A.Cleve, 1895	SPECIES
Cymbella perpusilla var. perpusilla	Cymbella perpusilla var. perpusilla	VARIETY
Cymbella perpusilla var. striatior	Cymbella perpusilla var. striatior (Kalbe) Krammer, 1985	VARIETY
Cymbella pervarians	Cymbella pervarians Krammer, 2002	SPECIES
Cymbella prostrata	Cymbella prostrata (Berkeley) Cleve, 1894	SPECIES
Cymbella proxima	Cymbella proxima Reimer, 1975	SPECIES
Cymbella pusilla	Cymbella pusilla Grunow, 1875	SPECIES
Cymbella reichardtii	Cymbella reichardtii Krammer, 1985	SPECIES
Cymbella reinhardtii	Cymbella reinhardtii Grunow, 1875	SPECIES
Cymbella rupicola	Cymbella rupicola Grunow, 1881	SPECIES
Cymbella schimanskii	Cymbella schimanskii Krammer, 1982	SPECIES
Cymbella scotlandica	Cymbella scotlandica Krammer, 2002	SPECIES
Cymbella silesiaca	Cymbella silesiaca Bleisch, 1864	SPECIES
Cymbella similis	Cymbella similis Patrick, 1943	SPECIES
Cymbella simonsenii	Cymbella simonsenii Krammer, 1985	SPECIES
Cymbella sinuata	Cymbella sinuata W.Gregory, 1856	SPECIES
Cymbella stauroneiformis	Cymbella stauroneiformis Lagerstedt, 1873	SPECIES
Cymbella stigmaphora	Cymbella stigmaphora Østrup, 1910	SPECIES
Cymbella subaequalis	Cymbella subaequalis Grunow, 1880	SPECIES
Cymbella subaspera	Cymbella subaspera Krammer, 2002	SPECIES
Cymbella subcistula	Cymbella subcistula Krammer, 2002	SPECIES
Cymbella subcuspidata	Cymbella subcuspidata Krammer, 1982	SPECIES
Cymbella subhelvetica	Cymbella subhelvetica Krammer, 2002	SPECIES
Cymbella subleptoceros	Cymbella subleptoceros Krammer, 2002	SPECIES
Cymbella tumida	Cymbella tumida (A.Schmidt) Skabichevskii, 1963	SPECIES
Cymbella tumidula	Cymbella tumidula Grunow, 1875	SPECIES
Cymbella tumidula var. lancettula	Cymbella tumidula var. lancettula Krammer, 1985	VARIETY
Cymbella tumidula var. tumidula	Cymbella tumidula var. tumidula	VARIETY
Cymbella turgidula	Cymbella turgidula Grunow, 1875	SPECIES
Cymbella tynnii	Cymbella tynnii Krammer, 1985	SPECIES
Cymbella ventricosa	Cymbella ventricosa Kützing, 1844	SPECIES
Cymbella vulgata	Cymbella vulgata Krammer, 2002	SPECIES
Cymbellonitzschia	Cymbellonitzschia F.Hustedt, 1924	GENUS
Cymbellonitzschia diluviana	Cymbellonitzschia diluviana Hustedt, 1950	SPECIES
Cymbopleura	Cymbopleura (K.Krammer) K.Krammer, 1999	GENUS
Cymbopleura amphicephala	Cymbopleura amphicephala (Nägeli) Krammer, 2003	SPECIES
Cymbopleura anglica	Cymbopleura anglica (Lagerstedt) Krammer, 2003	SPECIES
Cymbopleura angustata	Cymbopleura angustata (W.Smith) Krammer, 2003	SPECIES
Cymbopleura apiculata	Cymbopleura apiculata Krammer, 2003	SPECIES
Cymbopleura austriaca	Cymbopleura austriaca (Grunow) Krammer, 2003	SPECIES
Cymbopleura citriformis	Cymbopleura citriformis K.Krammer, 2003	SPECIES
Cymbopleura citrus	Cymbopleura citrus (Carter & Bailey-Watts) K.Krammer, 2003	SPECIES
Cymbopleura cuspidata	Cymbopleura cuspidata (Kützing) Krammer, 2003	SPECIES
Cymbopleura diminuta	Cymbopleura diminuta (Grunow) K.Krammer, 2003	SPECIES
Cymbopleura elliptica	Cymbopleura elliptica K.Krammer, 2003	SPECIES
Cymbopleura florentina	Cymbopleura florentina (Grunow) K.Krammer, 2003	SPECIES
Cymbopleura florentina var. brevis	Cymbopleura florentina (Grunow) K.Krammer, 2003	SPECIES
Cymbopleura florentina var. florentina	Cymbopleura florentina (Grunow) K.Krammer, 2003	SPECIES
Cymbopleura florentiniformis	Cymbopleura florentiniformis K.Krammer, 2003	SPECIES
Cymbopleura frequens	Cymbopleura frequens Krammer, 2003	SPECIES
Cymbopleura frequens var. frequens	Cymbopleura frequens var. frequens	VARIETY
Cymbopleura frequens var. rivularis	Cymbopleura frequens var. rivularis K.Krammer, 2003	VARIETY
Cymbopleura frequens var. saxonica	Cymbopleura frequens var. saxonica K.Krammer, 2003	VARIETY
Cymbopleura geofriedana	Cymbopleura geofriedana Reichardt, 2004	SPECIES
Cymbopleura hauckii	Cymbopleura hauckii (Van Heurck) Krammer, 2003	SPECIES
Cymbopleura hercynica	Cymbopleura hercynica (A.Schmidt) Krammer, 2003	SPECIES
Cymbopleura hybrida	Cymbopleura hybrida (Grunow ex Cleve) Krammer, 2003	SPECIES
Cymbopleura hybrida var. capitata	Cymbopleura hybrida var. capitata (Fontell) K.Krammer, 2003	VARIETY
Cymbopleura hybrida var. hybrida	Cymbopleura hybrida (Grunow ex Cleve) Krammer, 2003	SPECIES
Cymbopleura inaequaliformis	Cymbopleura inaequaliformis Krammer, 2003	SPECIES
Cymbopleura inaequalis	Cymbopleura inaequalis (Ehrenberg) Krammer, 2003	SPECIES
Cymbopleura inaequilatera	Cymbopleura inaequilatera (Lagerstedt) K.Krammer, 2003	SPECIES
Cymbopleura incerta	Cymbopleura incerta (Grunow) Krammer, 2003	SPECIES
Cymbopleura incerta var. grunowii	Cymbopleura incerta var. grunowii Krammer, 2003	VARIETY
Cymbopleura incerta var. incerta	Cymbopleura incerta var. incerta	VARIETY
Cymbopleura incertiformis	Cymbopleura incertiformis K.Krammer, 2003	SPECIES
Cymbopleura incertiformis var. inariensis	Cymbopleura incertiformis var. inariensis K.Krammer, 2003	VARIETY
Cymbopleura incertiformis var. incertiformis	Cymbopleura incertiformis var. incertiformis	VARIETY
Cymbopleura incertiformis var. laterostrata	Cymbopleura incertiformis var. laterostrata K.Krammer, 2003	VARIETY
