taxa	harmonized_name	rank
Achnanthidium pusillum	Achnanthidium pusillum Czarnecki & Edlund, 1995	SPECIES
Amphora copulata	Amphora copulata (Kützing) Schoeman & R.E.M.Archibald, 1986	SPECIES
Amphora coffeaeformis	Amphora coffeaeformis	SPECIES
Achnanthes conspicua	Achnanthes conspicua	SPECIES
Amphora copulata	Amphora copulata (Kützing) Schoeman & R.E.M.Archibald, 1986	SPECIES
Achnantheiopsis grana	Achnantheiopsis grana (M.H.Hohn & Hellerman) Lange-Bert., 1997	SPECIES
Achnantheiopsis oestrupii	Achnantheiopsis oestrupii (Cleve-Euler) Lange-Bert., 1997	SPECIES
Achnanthes crassa	Achnanthes crassa Hustedt, 1937	SPECIES
Achnantheiopsis robustior	Achnantheiopsis robustior Lange-Bertalot, 1997	SPECIES
Amphora crameri	Amphora crameri Foged, 1966	SPECIES
Achnanthes clevei var. rostrata	Achnanthes clevei var. rostrata Hustedt, 1930	VARIETY
Achnanthidium crassum terato	Achnanthidium crassum (Hustedt) Potapova & Ponader	SPECIES
Achnanthes cassida	Achnanthes cassida Carter, 1970	SPECIES
Achnanthes catenata	Achnanthes catenata Bily & Marvan, 1959	SPECIES
Actinoptychus undulatus	Actinoptychus C.G.Ehrenberg, 1843	GENUS
Achnanthes curtissima terato	Achnanthes curtissima J.R.Carter, 1963	SPECIES
Achnanthes convergens terato	Achnanthes convergens H.Kobayasi ex H.Kobayshi, Nagumo & Mayama, 1986	SPECIES
Aulacoseira distans var. africana	Aulacoseira distans var. africana (O.Müll.) Simonsen, 1979	VARIETY
Achnanthes daonensis	Achnanthes daonensis Lange-Bertalot, 1989	SPECIES
Achnanthidium atomus	Achnanthidium atomus (Hustedt) Monnier, Lange-Bertalot & Ector, 2004	SPECIES
Achnanthes daui	Achnanthes daui Foged, 1962	SPECIES
Achnanthidium barbei	Achnanthidium barbei R.Le Cohu & F.Peres, 2014	SPECIES
Achnanthidium biasolettianum	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES
Achnanthidium bioretii	Achnanthidium bioretii (H.Germ.) Edlund	SPECIES
Achnanthidium biasolettianum var. subatomus	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES
Achnanthidium biasolettianum terato	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES
Achnanthidium caledonicum	Achnanthidium caledonicum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Achnanthidium costei	Achnanthidium costei R.Le Cohu & F.Peres, 2014	SPECIES
Achnanthidium chlidanos	Achnanthidium chlidanos (Hohn & Hellerman) E.Novelo, R.Tavera & C.Ibarra, 2007	SPECIES
Achnanthidium crassum	Achnanthidium crassum (Hustedt) Potapova & Ponader	SPECIES
Achnanthidium catenatum	Achnanthidium catenatum (Bily & Marvan) Lange-Bertalot, 1999	SPECIES
Achnanthidium daonense	Achnanthidium daonense (Lange-Bertalot) Lange-Bertalot, O.Monnier & L.Ector, 2007	SPECIES
Achnanthidium exiguum	Achnanthidium exiguum (Grunow) D.B.Czarnecki, 1994	SPECIES
Achnanthidium exiguum var. heterovalvum	Achnanthidium exiguum var. heterovalvum (G.Krasske) D.B.Czarnecki, 1994	VARIETY
Achnanthes delicatula	Achnanthes delicatula (Kützing) Grunow, 1880	SPECIES
Achnanthes delicatula ssp. engelbrechtii	Achnanthes delicatula subsp. engelbrechtii (Cholnoky) Lange-Bert., 1991	SUBSPECIES
Achnanthes detha	Achnanthes detha Hohn & Hellerman, 1963	SPECIES
Achnanthidium eutrophilum	Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Achnanthidium exilis	Achnanthidium exilis	SPECIES
Adlafia suchlandtii	Adlafia suchlandtii (Hustedt) Lange-Bertalot, 1998	SPECIES
Achnanthes didyma f. gibbosa	Achnanthes didyma f. gibbosa J.R.Carter, 1981	FORM
Achnanthidium cf gracillimum	Achnanthidium gracillimum (Meister) Lange-Bertalot, 2004	SPECIES
Achnanthes delicatula ssp. hauckiana	Achnanthes delicatula subsp. hauckiana (Grunow) Lange-Bertalot & Ruppel, 1980	SUBSPECIES
Achnanthidium helveticum	Achnanthidium helveticum (Hustedt) Monnier, Lange-Bertalot & Ector, 2007	SPECIES
Achnanthidium jackii	Achnanthidium jackii Rabenhorst, 1861	SPECIES
Achnanthidium kenyae	Achnanthidium kenyae (Cholnoky) C.Cocquyt, 2007	SPECIES
Achnanthidium kryophila	Achnanthidium kryophila (J.B.Petersen) Bukhtiyarova, 1995	SPECIES
Achnanthidium kranzii	Achnanthidium kranzii (Lange-Bertalot) Round & Bukhtiyarova, 1996	SPECIES
Achnanthidium latecephalum	Achnanthidium latecephalum H.Kobayasi, 1997	SPECIES
Achnanthidium lauenburgianum	Achnanthidium lauenburgianum (Hustedt) Monnier, Lange-Bertalot & Ector, 2007	SPECIES
Achnanthes delicatissima	Achnanthes delicatissima Simonsen, 1959	SPECIES
Aulacoseira distans var. lirata	Aulacoseira distans var. lirata (Ehrenberg) Simonsen, 1979	VARIETY
Achnanthidium linearioides	Achnanthidium linearioides (Lange-Bert.) Lange-Bert.	SPECIES
Achnanthidium lapidosum	Achnanthidium lapidosum (Krasske) Kobayasi, 2002	SPECIES
Adlafia suchlandtii	Adlafia suchlandtii (Hustedt) Lange-Bertalot, 1998	SPECIES
Achnanthidium latecephalum terato	Achnanthidium latecephalum H.Kobayasi, 1997	SPECIES
Achnanthidium macrocephalum	Achnanthidium macrocephalum (Hustedt) Round & Bukhtiyarova, 1996	SPECIES
Achnanthidium microcephalum	Achnanthidium microcephalum Kützing, 1844	SPECIES
Achnanthidium minutissima var. affinis	Achnanthales	ORDER
Achnanthidium minutissimum	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES
Achnanthidium minutissimu var. jackii	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES
Adlafia minuscula var. muralis	Adlafia minuscula var. muralis (Grunow) Lange-Bertalot, 1999	VARIETY
Adlafia minuscula	Adlafia minuscula (Grunow) Lange-Bertalot, 1999	SPECIES
Achnanthidium minutissimum terato	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES
Achnanthidium neomicrocephalum	Achnanthidium neomicrocephalum Lange-Bertalot & F.Staab, 2004	SPECIES
Achnanthidium pyrenaicum terato	Achnanthidium pyrenaicum (Hustedt) H.Kobayasi, 1997	SPECIES
Achnanthidium pyrenaicum	Achnanthidium pyrenaicum (Hustedt) H.Kobayasi, 1997	SPECIES
Achnanthidium rivulare	Achnanthidium rivulare Potapova & Ponader, 2004	SPECIES
Achnanthidium rosenstockianum	Achnanthidium rosenstockianum (Lange-Bert.) Lange-Bert.	SPECIES
Achnanthidium rivulare terato	Achnanthidium rivulare Potapova & Ponader, 2004	SPECIES
Achnanthidium saprophilum	Achnanthidium saprophilum (H.Kobayasi & S.Mayama) Round & L.Bukhtiyarova, 1996	SPECIES
Achnanthidium straubianum	Achnanthidium straubianum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Achnanthidium saprophilum terato	Achnanthidium saprophilum (H.Kobayasi & S.Mayama) Round & L.Bukhtiyarova, 1996	SPECIES
Achnanthidium subhudsonis	Achnanthidium subhudsonis (Hustedt) H.Kobayasi, 2006	SPECIES
Achnanthidium subatomoides	Achnanthidium subatomoides (Hustedt) O.Monnier, H.Lange-Bertalot & L.Ector, 2007	SPECIES
Achnanthidium subatomus	Achnanthidium subatomus (Hustedt) Lange-Bertalot, 1999	SPECIES
Achnanthidium alpestre	Achnanthidium alpestre (R.Lowe & J.P.Kociolek) R.Lowe & J.P.Kociolek, 2004	SPECIES
Achnanthidium subatomus terato	Achnanthidium subatomus (Hustedt) Lange-Bertalot, 1999	SPECIES
Achnanthidium exile	Achnanthidium exile (Kützing) Heiberg, 1863	SPECIES
Achnanthidium exile	Achnanthidium exile (Kützing) Heiberg, 1863	SPECIES
Achnanthidium exiguum terato	Achnanthidium exiguum (Grunow) D.B.Czarnecki, 1994	SPECIES
Anomoeoneis exilis var. azorica	Anomoeoneis exilis var. azorica Manguin, 1942	VARIETY
Achnanthes exigua var. constricta	Achnanthales	ORDER
Achnanthes exigua var. elliptica	Achnanthes exigua var. elliptica Hustedt, 1937	VARIETY
Achnanthes exigua var. heterovalva	Achnanthes exigua var. heterovalva Krasske, 1923	VARIETY
Anomoeoneis exilis var. lanceolata	Anomoeoneis exilis var. lanceolata Mayer, 1919	VARIETY
Achnanthes elegans	Achnanthes elegans H.Kobayashi, 1965	SPECIES
Achnanthes elliptica	Achnanthes elliptica Kustner, 1914	SPECIES
Achnanthes engelbrechtii	Achnanthes engelbrechtii	SPECIES
Achnanthidium eutrophilum terato	Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Achnanthes eutrophila	Achnanthes eutrophila Lange-Bertalot, 1996	SPECIES
Achnanthes exigua	Achnanthes exigua Grunow, 1880	SPECIES
Achnanthes exilis	Achnanthes exilis	SPECIES
Amphora eximia	Amphora eximia J.R.Carter, 1974	SPECIES
Asterionella formosa var. gracillima	Asterionella formosa var. gracillima (Hanztsch) Grunow, 1881	VARIETY
Asterionella fibula	Asterionella fibula (Brébisson) Hustedt, 1952	SPECIES
Achnanthes flexella	Achnanthes flexella (Kützing) Mann, 1937	SPECIES
Achnanthes fogedii	Achnanthes fogedii Håkansson, 1978	SPECIES
Asterionella formosa	Asterionella formosa Hassall, 1850	SPECIES
Achnanthes frequentissima	Achnanthes frequentissima Lange-Bertalot, 1989	SPECIES
Achnanthes lanceolata ssp. frequentissima var. rostrata	Achnanthes lanceolata var. rostrata Schulz, 1926	VARIETY
Achnanthes fonticola	Achnanthes fonticola Hustedt, 1945	SPECIES
Achnanthes fugei	Achnanthes fugeii Carter, 1963	SPECIES
Aulacoseira granulata m curvata	Aulacoseira granulata f. curvata (Hustedt) Simonsen, 1979	FORM
Achnanthes gessneri	Achnanthes gessneri Hustedt, 1953	SPECIES
Aulacoseira granulata var. muzzanensis	Aulacoseira granulata var. muzzanensis (Meister) Simonsen, 1979	VARIETY
Asterionella gracillima	Asterionella gracillima (Hantzsch) Heiberg, 1863	SPECIES
Achnanthes gracillima	Achnanthes gracillima Hustedt, 1927	SPECIES
Achnanthes grana	Achnanthes grana Hohn & Hellerman, 1963	SPECIES
Achnanthes grischuna	Achnanthes grischuna Wuthrich, 1975	SPECIES
Achnanthes grubei	Achnanthes grubei Simonsen, 1987	SPECIES
Achnanthes hauckiana var. elliptica	Achnanthes hauckiana var. elliptica Schulz ex Hustedt, 1930	VARIETY
Achnanthes helvetica var. alpina	Achnanthes helvetica var. alpina Flower & Jones, 1989	VARIETY
Achnanthes hauckiana	Achnanthes hauckiana Grunow, 1880	SPECIES
Achnanthes haynaldii var. borussica	Achnanthes haynaldii var. borussica Cleve-Euler, 1953	VARIETY
Achnanthes helvetica	Achnanthes helvetica (Hustedt) Lange-Bertalot, 1989	SPECIES
Achnanthes hauckiana f. lancettula	Achnanthes hauckiana f. lancettula Hustedt, 1937	FORM
Achnanthes helvetica var. minor	Achnanthes helvetica var. minor Flower & Jones, 1989	VARIETY
Achnanthidium hoffmannii	Achnanthidium hoffmannii Van de Vijver, Ector, Mertens & Jarlman, 2011	SPECIES
Amphora holsatica	Amphora holsatica Hustedt, 1925	SPECIES
Achnanthes holsatica	Achnanthes holsatica Hustedt, 1936	SPECIES
Achnanthes heterovalvata	Achnanthes heterovalvata (Krasske) Frenguelli, 1942	SPECIES
Achnanthes hungarica	Achnanthes hungarica (Grunow) Grunow, 1880	SPECIES
Achnanthes hustedtii	Achnanthes hustedtii Bily & Marvan, 1959	SPECIES
Achnanthidium minutissimum var. inconspicuum	Achnanthidium minutissimum var. inconspicuum (Østrup) I.Jüttner & E.J.Cox, 2010	VARIETY
Amphora inariensis	Amphora inariensis Krammer, 1980	SPECIES
Aulacoseira italica ssp. subarctica	Aulacoseira italica subsp. subarctica (O.F.Müller) Simonsen	SUBSPECIES
Aulacoseira italica var. tenuissima	Aulacoseira italica var. tenuissima (Grunow) Simonsen, 1979	VARIETY
Aulacoseira italica	Aulacoseira italica (Ehrenberg) Simonsen, 1979	SPECIES
Achnanthes jakovljevicii	Achnanthes jakovljevici Hustedt, 1945	SPECIES
Achnanthes jackii	Achnanthes jackii (Rabenhorst) Tempère & Peragallo, 1909	SPECIES
Achnanthes kryophila var. africana	Achnanthes kryophila var. africana Cholnoky, 1960	VARIETY
Achnanthes kryophila var. densestriata	Achnanthes kryophila var. densestriata Hustedt, 1934	VARIETY
Achnanthes kenyae	Achnanthes kenyae Cholnoky, 1960	SPECIES
Achnanthes kolbei	Achnanthes kolbei	SPECIES
Achnanthes kryophila var. protracta	Achnanthes kryophila var. protracta Hustedt, 1937	VARIETY
Achnanthes krasskei	Achnanthes krasskei Kobayasi & Sawatari, 1986	SPECIES
Achnanthes kraeuselii	Achnanthes kraeuselii	SPECIES
Achnanthes kryophila	Achnanthes kryophila J.B.Petersen, 1924	SPECIES
Achnanthes kranzii	Achnanthes kranzii Lange-Bertalot, 1989	SPECIES
Achnanthes lanceolata var. abbreviata	Achnanthes lanceolata var. abbreviata Reimer, 1966	VARIETY
Achnanthes lanceolata var. elliptica	Achnanthes lanceolata var. elliptica Cleve, 1891	VARIETY
Aulacoseira lirata var. alpigena	Aulacoseira lirata var. alpigena (Grunow) Haworth, 1990	VARIETY
Achnanthes lanceolata	Achnanthes lanceolata H.Ettl et al., 1991	SPECIES
Achnanthes lanceolata var. oestrupii	Achnanthes lanceolata var. oestrupii Patr.	VARIETY
Achnanthes lapidosa	Achnanthes lapidosa Krasske, 1929	SPECIES
Achnanthes lanceolata ssp. rostrata	Achnanthes lanceolata subsp. rostrata (Oestrup) Lange-Bertalot, 1991	SUBSPECIES
Achnanthes laterostrata	Achnanthes laterostrata Hustedt, 1933	SPECIES
Achnanthes lauenburgiana	Achnanthes lauenburgiana Hustedt, 1950	SPECIES
Achnanthes lanceolata var. boyei	Achnanthes lanceolata var. boyei (Østrup) Lange-Bertalot, 1989	VARIETY
Achnanthes lanceolata ssp. biporoma	Achnanthes lanceolata subsp. biporoma (Hohn & Hellerman) Lange-Bertalot, 1993	SUBSPECIES
Achnantheiopsis lanceolata	Achnantheiopsis lanceolata (Bréb. ex Kütz.) Lange-Bert., 1997	SPECIES
Achnanthes linearis f. curta	Achnanthes linearis f. curta H.L.Smith ex Boyer, 1916	FORM
Achnanthes lanceolata var. dubia f. minuta	Achnanthes lanceolata f. minuta Grunow, 1880-1887	FORM
Achnanthes lanceolata ssp. dubia	Achnanthes lanceolata subsp. dubia (Grunow) Lange-Bertalot, 1991	SUBSPECIES
Achnanthes lemmermannii	Achnanthes lemmermannii Hustedt, 1933	SPECIES
Achnanthes lewisiana	Achnanthes lewisiana R.M.Patrick, 1945	SPECIES
Achnanthes lanceolata ssp. frequentissima var. rostratiformis	Achnanthes lanceolata var. rostratiformis Lange-Bertalot, 1993	VARIETY
Achnanthes lanceolata ssp. frequentissima var. magna	Achnanthes lanceolata var. magna H.Ettl et al., 1991	VARIETY
Achnanthes lanceolata ssp. frequentissima	Achnanthes lanceolata subsp. frequentissima Lange-Bert.	SUBSPECIES
Achnanthes lanceolata ssp. frequentissima terato	Achnanthes lanceolata subsp. frequentissima Lange-Bert.	SUBSPECIES
Amphora libyca	Amphora libyca Ehrenberg, 1840	SPECIES
Achnanthes lineariformis	Achnanthes lineariformis H.Kobayashi, 1964	SPECIES
Achnanthes linearis	Achnanthes linearis (W.Smith) Grunow, 1880	SPECIES
Achnanthes linearioides	Achnanthes linearioides Lange-Bertalot, 1994	SPECIES
Achnanthes linearis var. pusilla	Achnanthes linearis var. pusilla (Grunow) Cleve, 1895	VARIETY
Aulacoseira lirata	Aulacoseira lirata (Ehrenberg) R.Ross, 1986	SPECIES
Achnanthes linearis var. jackii	Achnanthes linearis var. jackii (Rabenhorst) Grunow, 1880	VARIETY
Achnanthes lineariformis	Achnanthes lineariformis H.Kobayashi, 1964	SPECIES
Achnanthes lemmermannii var. obtusa	Achnanthes lemmermannii var. obtusa Hustedt, 1939	VARIETY
Achnanthes lapidosa var. appalachiana	Achnanthes lapidosa var. appalachiana (Camburn & Lowe) Lange-Bertalot, 1989	VARIETY
Achnanthes lanceolata ssp. apiculata	Achnanthes lanceolata var. apiculata R.M.Patrick, 1945	VARIETY
Achnanthes lanceolata ssp. robusta var. abbreviata	Achnanthes lanceolata var. abbreviata Reimer, 1966	VARIETY
Achnanthes lanceolata var. robusta	Achnanthes lanceolata var. robusta Hustedt, 1937	VARIETY
Achnanthes lanceolata ssp. robusta	Achnanthes lanceolata subsp. robusta (Hust.) Lange-Bert.	SUBSPECIES
Achnanthes lanceolata var. rostrata	Achnanthes lanceolata var. rostrata Schulz, 1926	VARIETY
Aulacoseira lirata	Aulacoseira lirata (Ehrenberg) R.Ross, 1986	SPECIES
Aulacoseira lacustris f. tenuior	Aulacoseira lacustris f. tenuior (Grunow) V.Houk, R.Klee & U.Passauer, 2007	FORM
Achnanthes lanceolata terato	Achnanthes lanceolata H.Ettl et al., 1991	SPECIES
Achnanthes lutheri	Achnanthes lutheri Hustedt, 1933	SPECIES
Achnanthes laevis var. austriaca	Achnanthes laevis var. austriaca (Hustedt) Lange-Bertalot, 1989	VARIETY
Achnanthes laevis	Achnanthes laevis Østrup, 1910	SPECIES
Achnanthes minutissima var. affinis	Achnanthes minutissima var. affinis (Grunow) Lange-Bert., 1989	VARIETY
Achnanthes marginulata	Achnanthes marginulata Grunow, 1880	SPECIES
Achnanthes maxima	Achnanthes maxima A.Cleve, 1953	SPECIES
Achnanthes minutissima var. cryptocephala f. gracillima	Achnanthes minutissima f. gracillima (Meister) Cleve-Euler, 1932	FORM
Achnanthes minutissima var. cryptocephala	Achnanthes minutissima var. cryptocephala Grunow, 1880	VARIETY
Achnanthes microcephala f. scotica	Achnanthes microcephala f. scotica J.R.Carter, 1981	FORM
Amphora meridionalis	Amphora meridionalis Levkov, 2009	SPECIES
Amphora ehrenbergii	Amphora ehrenbergii N.Woodhead & R.D.Tweed, 1960	SPECIES
Amphora fogediana	Amphora fogediana Krammer, 1985	SPECIES
Amphora gigas	Amphora gigas Ehrenberg, 1854	SPECIES
Amphora globulosa	Amphora globulosa J.Schumann	SPECIES
Achnanthes marginulata var. major	Achnanthes marginulata f. major Flower & Jones, 1989	FORM
Amphora globulosa var. perpusilla	Amphora globulosa var. perpusilla Grunow, 1880	VARIETY
Achnanthes minutissima var. gracillima	Achnanthes minutissima var. gracillima (Meister) Lange-Bertalot, 1989	VARIETY
Amphora gracilis	Amphora gracilis Ehrenberg ex Kützing, 1844	SPECIES
Achnanthes microcephala	Achnanthes microcephala Kütz.	SPECIES
Amphora indistincta	Amphora indistincta Levkov, 2009	SPECIES
Achnanthes minutissima var. inconspicua	Achnanthes minutissima var. inconspicua Østrup, 1910	VARIETY
Achnanthes minutissima	Achnanthes minutissima Kützing, 1833	SPECIES
Achnanthes minutissima var. inconspicua	Achnanthes minutissima var. inconspicua Østrup, 1910	VARIETY
Achnanthes minuscula	Achnanthes minuscula Hustedt, 1945	SPECIES
Achnanthes minutissima terato	Achnanthes minutissima Kützing, 1833	SPECIES
Achnanthes minutissima var. jackii	Achnanthes minutissima var. jackii (Rabenhorst) Lange-Bertalot & Ruppel, 1980	VARIETY
Achnanthes minutissima var. macrocephala	Achnanthes minutissima var. macrocephala Hustedt, 1937	VARIETY
Achnanthes microcephala f. magna	Achnanthes microcephala f. magna Cleve-Euler, 1932	FORM
Amphora montana	Amphora montana Krasske, 1932	SPECIES
Adlafia minuscula var. muralis terato	Adlafia minuscula var. muralis (Grunow) Lange-Bertalot, 1999	VARIETY
Adlafia minuscula terato	Adlafia minuscula (Grunow) Lange-Bertalot, 1999	SPECIES
Achnanthes montana	Achnanthes montana	SPECIES
Amphora ostrearia	Amphora ostrearia Brébisson, 1849	SPECIES
Amphora perpusilla	Amphora perpusilla Grunow, 1884	SPECIES
Achnanthes minutissima var. robusta	Achnanthes minutissima var. robusta Hustedt, 1937	VARIETY
Achnanthes minutissima var. saprophila	Achnanthes minutissima var. saprophila H.Kobayasi & Mayama, 1982	VARIETY
Achnanthes minutissima var. scotica	Achnanthes minutissima var. scotica (Carter) Lange-Bertalot, 1989	VARIETY
Amphora strigosa	Amphora strigosa Hustedt, 1949	SPECIES
Adlafia muscora	Adlafia muscora (J.P.Kociolek & B.Reviers) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Aulacoseira muzzanensis	Aulacoseira muzzanensis (Meister) Krammer, 1991	SPECIES
Amphora vitrea	Amphora vitrea Cleve, 1868	SPECIES
Anomoeoneis brachysira	Anomoeoneis brachysira (Brébisson ex Rabenhorst) Cleve, 1895	SPECIES
Anomoeoneis exilis var. thermalis	Anomoeoneis exilis var. thermalis (Grunow) Cleve, 1895	VARIETY
Anomoeoneis exilis	Anomoeoneis exilis (Kützing) Cleve, 1895	SPECIES
Amphora neglectiformis	Amphora neglectiformis Levkov & Edlund, 2009	SPECIES
Aulacoseira nivalis	Aulacoseira nivalis (W.Smith) J.English & M.Potapova, 2009	SPECIES
Actinocyclus normanii	-	-
Amphora normanii	Amphora normanii Rabenhorst, 1864	SPECIES
Anomoeoneis sculpta	Anomoeoneis sculpta (Ehrenberg) Cleve, 1896	SPECIES
Actinocyclus normanii m subsalsus	Actinocyclus normanii var. subsalsus (Juhl.-Dannf.) Hust.	VARIETY
Aneumastus tusculus	Aneumastus tusculus (Ehrenberg) D.G.Mann & Stickle, 1990	SPECIES
Achnanthes oblongella	Achnanthes oblongella Østrup, 1902	SPECIES
Achnanthes occulta	Achnanthes occulta Kalbe, 1963	SPECIES
Amphora ocellata	Amphora ocellata Donkin, 1861	SPECIES
Amphora ovalis var. gracilis	Amphora ovalis var. gracilis (Ehrenberg) van Heurck, 1885	VARIETY
Amphora oligotraphenta	Amphora oligotraphenta Lange-Bertalot, 1996	SPECIES
Amphora ovalis var. libyca	Amphora ovalis var. libyca (Ehrenberg) Cleve, 1895	VARIETY
Amphora ovalis var. pediculus	Bacillariophyceae	CLASS
Achnanthes orientalis	Achnanthes orientalis Meister, 1937	SPECIES
Achnanthes oestrupii	Achnanthes oestrupii (Cleve-Euler) Hustedt, 1930	SPECIES
Achnanthes oblongella terato	Achnanthes oblongella Østrup, 1902	SPECIES
Amphora ovalis	Amphora ovalis (Kützing) Kützing, 1844	SPECIES
Amphora ovalis terato	Amphora ovalis (Kützing) Kützing, 1844	SPECIES
Amphora pediculus terato	Amphora pediculus (Kützing) Grunow ex A.Schmidt, 1875	SPECIES
Amphiprora paludosa	Amphiprora paludosa W.Smith, 1853	SPECIES
Achnanthes parvula	Achnanthes parvula Kützing, 1836	SPECIES
Achnanthes pusilla var. crassa	Achnanthes pusilla var. crassa (Hustedt) Lange-Bertalot & Ruppel, 1980	VARIETY
Achnantheiopsis dubia	Achnantheiopsis dubia (Grunow) Lange-Bert., 1997	SPECIES
Amphora pediculus	Amphora pediculus (Kützing) Grunow ex A.Schmidt, 1875	SPECIES
Achnantheiopsis peragalli	Achnantheiopsis peragalli (Brun & Hérib.) Lange-Bert., 1997	SPECIES
Amphipleura pellucida	Amphipleura pellucida (Kützing) Kützing, 1844	SPECIES
Achnanthes peragalli	Achnanthes peragalli Brun & Héribaud-Joseph, 1893	SPECIES
