taxa	scientificName	rank	kingdom	phylum	class	order	family	genus
Achnanthidium clevei var. rostratum	Achnanthidium clevei var. rostratum (Hustedt) M.B.Edlund, 1995	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Achnantheiopsis daui	Achnantheiopsis daui (Foged) Lange-Bert., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnantheiopsis delicatula	Achnantheiopsis delicatula (Kütz.) Lange-Bert., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium exiguum var. constrictum	Achnanthidium exiguum var. constrictum (Grunow) N.A.Andresen, E.F.Stoermer & R.G.Kreis, 2000	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneis
Achnantheiopsis engelbrechtii	Achnantheiopsis engelbrechtii (Cholnoky) Lange-Berta., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium convergens terato	Achnanthidium convergens (Kobayasi) Kobayasi, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnantheiopsis hauckiana	Achnantheiopsis hauckiana (Grunow) Lange-Bert., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes chlidanos	Achnanthes chlidanos M.H.Hohn & Hellerman, 1963	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes sp. terato	Achnanthes Bory, 1822	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes caledonica	Achnanthes caledonica Lange-Bertalot, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthes clevei	Achnanthes clevei Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Achnanthidium lineare	Achnanthidium lineare W.Smith, 1855	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium minutissimum var. gracillima	Achnanthidium minutissimum var. gracillima (Meister) L.Bukhtiyarova, 1995	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	-	-	Microneis
Achnanthidium pusillum	Achnanthidium pusillum Czarnecki & Edlund, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Amphora copulata	Amphora copulata (Kützing) Schoeman & R.E.M.Archibald, 1986	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Amphora coffeaeformis	Amphora coffeaeformis	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Achnanthes conspicua	Achnanthes conspicua	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Amphora copulata	Amphora copulata (Kützing) Schoeman & R.E.M.Archibald, 1986	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Achnantheiopsis grana	Achnantheiopsis grana (M.H.Hohn & Hellerman) Lange-Bert., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnantheiopsis oestrupii	Achnantheiopsis oestrupii (Cleve-Euler) Lange-Bert., 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes crassa	Achnanthes crassa Hustedt, 1937	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnantheiopsis robustior	Achnantheiopsis robustior Lange-Bertalot, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Amphora crameri	Amphora crameri Foged, 1966	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Achnanthes clevei var. rostrata	Achnanthes clevei var. rostrata Hustedt, 1930	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Achnanthidium crassum terato	Achnanthidium crassum (Hustedt) Potapova & Ponader	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes cassida	Achnanthes cassida Carter, 1970	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes catenata	Achnanthes catenata Bily & Marvan, 1959	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Actinoptychus undulatus	Actinoptychus C.G.Ehrenberg, 1843	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus
Achnanthes curtissima terato	Achnanthes curtissima J.R.Carter, 1963	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Achnanthes convergens terato	Achnanthes convergens H.Kobayasi ex H.Kobayshi, Nagumo & Mayama, 1986	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Aulacoseira distans var. africana	Aulacoseira distans var. africana (O.Müll.) Simonsen, 1979	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira
Achnanthes daonensis	Achnanthes daonensis Lange-Bertalot, 1989	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium atomus	Achnanthidium atomus (Hustedt) Monnier, Lange-Bertalot & Ector, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthes daui	Achnanthes daui Foged, 1962	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium barbei	Achnanthidium barbei R.Le Cohu & F.Peres, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium biasolettianum	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium bioretii	Achnanthidium bioretii (H.Germ.) Edlund	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Achnanthidium biasolettianum var. subatomus	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium biasolettianum terato	Achnanthidium biasolettianum (Grunow) Bukhtiyarova, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium caledonicum	Achnanthidium caledonicum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium costei	Achnanthidium costei R.Le Cohu & F.Peres, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium chlidanos	Achnanthidium chlidanos (Hohn & Hellerman) E.Novelo, R.Tavera & C.Ibarra, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium crassum	Achnanthidium crassum (Hustedt) Potapova & Ponader	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium catenatum	Achnanthidium catenatum (Bily & Marvan) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium daonense	Achnanthidium daonense (Lange-Bertalot) Lange-Bertalot, O.Monnier & L.Ector, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exiguum	Achnanthidium exiguum (Grunow) D.B.Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exiguum var. heterovalvum	Achnanthidium exiguum var. heterovalvum (G.Krasske) D.B.Czarnecki, 1994	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes delicatula	Achnanthes delicatula (Kützing) Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthes delicatula ssp. engelbrechtii	Achnanthes delicatula subsp. engelbrechtii (Cholnoky) Lange-Bert., 1991	SUBSPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes detha	Achnanthes detha Hohn & Hellerman, 1963	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium eutrophilum	Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exilis	Achnanthidium exilis	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Adlafia suchlandtii	Adlafia suchlandtii (Hustedt) Lange-Bertalot, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Adlafia
Achnanthes didyma f. gibbosa	Achnanthes didyma f. gibbosa J.R.Carter, 1981	FORM	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium cf gracillimum	Achnanthidium gracillimum (Meister) Lange-Bertalot, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	-	-	Microneis
Achnanthes delicatula ssp. hauckiana	Achnanthes delicatula subsp. hauckiana (Grunow) Lange-Bertalot & Ruppel, 1980	SUBSPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthidium helveticum	Achnanthidium helveticum (Hustedt) Monnier, Lange-Bertalot & Ector, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Achnanthidium jackii	Achnanthidium jackii Rabenhorst, 1861	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium kenyae	Achnanthidium kenyae (Cholnoky) C.Cocquyt, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium kryophila	Achnanthidium kryophila (J.B.Petersen) Bukhtiyarova, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium kranzii	Achnanthidium kranzii (Lange-Bertalot) Round & Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium latecephalum	Achnanthidium latecephalum H.Kobayasi, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium lauenburgianum	Achnanthidium lauenburgianum (Hustedt) Monnier, Lange-Bertalot & Ector, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes delicatissima	Achnanthes delicatissima Simonsen, 1959	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Aulacoseira distans var. lirata	Aulacoseira distans var. lirata (Ehrenberg) Simonsen, 1979	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira
Achnanthidium linearioides	Achnanthidium linearioides (Lange-Bert.) Lange-Bert.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Rossithidium
Achnanthidium lapidosum	Achnanthidium lapidosum (Krasske) Kobayasi, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Nupela
Adlafia suchlandtii	Adlafia suchlandtii (Hustedt) Lange-Bertalot, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Adlafia
Achnanthidium latecephalum terato	Achnanthidium latecephalum H.Kobayasi, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium macrocephalum	Achnanthidium macrocephalum (Hustedt) Round & Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium microcephalum	Achnanthidium microcephalum Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium minutissima var. affinis	Achnanthales	ORDER	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	-	-
Achnanthidium minutissimum	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium minutissimu var. jackii	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Adlafia minuscula var. muralis	Adlafia minuscula var. muralis (Grunow) Lange-Bertalot, 1999	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Adlafia minuscula	Adlafia minuscula (Grunow) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Achnanthidium minutissimum terato	Achnanthidium minutissimum (Kützing) Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium neomicrocephalum	Achnanthidium neomicrocephalum Lange-Bertalot & F.Staab, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium pyrenaicum terato	Achnanthidium pyrenaicum (Hustedt) H.Kobayasi, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium pyrenaicum	Achnanthidium pyrenaicum (Hustedt) H.Kobayasi, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium rivulare	Achnanthidium rivulare Potapova & Ponader, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium rosenstockianum	Achnanthidium rosenstockianum (Lange-Bert.) Lange-Bert.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium rivulare terato	Achnanthidium rivulare Potapova & Ponader, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium saprophilum	Achnanthidium saprophilum (H.Kobayasi & S.Mayama) Round & L.Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium straubianum	Achnanthidium straubianum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium saprophilum terato	Achnanthidium saprophilum (H.Kobayasi & S.Mayama) Round & L.Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium subhudsonis	Achnanthidium subhudsonis (Hustedt) H.Kobayasi, 2006	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium subatomoides	Achnanthidium subatomoides (Hustedt) O.Monnier, H.Lange-Bertalot & L.Ector, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Achnanthidium subatomus	Achnanthidium subatomus (Hustedt) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium alpestre	Achnanthidium alpestre (R.Lowe & J.P.Kociolek) R.Lowe & J.P.Kociolek, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium subatomus terato	Achnanthidium subatomus (Hustedt) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exile	Achnanthidium exile (Kützing) Heiberg, 1863	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exile	Achnanthidium exile (Kützing) Heiberg, 1863	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium exiguum terato	Achnanthidium exiguum (Grunow) D.B.Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Anomoeoneis exilis var. azorica	Anomoeoneis exilis var. azorica Manguin, 1942	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Achnanthes exigua var. constricta	Achnanthales	ORDER	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	-	-
Achnanthes exigua var. elliptica	Achnanthes exigua var. elliptica Hustedt, 1937	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes exigua var. heterovalva	Achnanthes exigua var. heterovalva Krasske, 1923	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Anomoeoneis exilis var. lanceolata	Anomoeoneis exilis var. lanceolata Mayer, 1919	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Achnanthes elegans	Achnanthes elegans H.Kobayashi, 1965	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes elliptica	Achnanthes elliptica Kustner, 1914	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes engelbrechtii	Achnanthes engelbrechtii	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium eutrophilum terato	Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes eutrophila	Achnanthes eutrophila Lange-Bertalot, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes exigua	Achnanthes exigua Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes exilis	Achnanthes exilis	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Amphora eximia	Amphora eximia J.R.Carter, 1974	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Asterionella formosa var. gracillima	Asterionella formosa var. gracillima (Hanztsch) Grunow, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma
Asterionella fibula	Asterionella fibula (Brébisson) Hustedt, 1952	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Achnanthes flexella	Achnanthes flexella (Kützing) Mann, 1937	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Achnanthes fogedii	Achnanthes fogedii Håkansson, 1978	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Asterionella formosa	Asterionella formosa Hassall, 1850	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Asterionella
Achnanthes frequentissima	Achnanthes frequentissima Lange-Bertalot, 1989	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes lanceolata ssp. frequentissima var. rostrata	Achnanthes lanceolata var. rostrata Schulz, 1926	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes fonticola	Achnanthes fonticola Hustedt, 1945	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
