Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
Staurotropis americana	Staurotropis	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium catenatum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium catenatum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium straubianum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium catenatum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium delmontii	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium delmontii	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium delmontii	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium subatomus	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium eutrophilum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium eutrophilum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium eutrophilum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium subatomus	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium subatomus	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium subatomus	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium lineare	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium lineare	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium lineare	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium pyrenaicum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium pyrenaicum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium pyrenaicum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium pyrenaicum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Hannaea arcus	Hannaea	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Hannaea arcus	Hannaea	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Hannaea arcus	Hannaea	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphadelpha kociolekii	Gomphadelpha	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphadelpha kociolekii	Gomphadelpha	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema elegantissimum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema elegantissimum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
