,seq_id,taxon,family,genus,species,rank,full_len_mismatch_sum,three_end_mismatch_sum,gc_matches_fwd,gc_matches_rev,min_tm,delta_tm
16,TCC471-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
17,TCC473-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
18,TCC475-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
19,TCC478-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
20,TCC482-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
21,TCC484-Rbcl-1,Mayamaea permitis Hustedt K.Bruder  L.K.Medlin 2008,Naviculaceae,Navicula,Mayamaea permitis,species,0,0,0,0,52.81,0.06
22,TCC487-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
23,TCC489-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
24,TCC490-Rbcl-1,Navicula cryptotenella Lange-Bertalot,Naviculaceae,Navicula,Navicula cryptotenella,species,0,0,0,0,50.86,2.01
25,TCC493-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
26,TCC500-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
27,TCC507-Rbcl-1,Gomphonema clevei Fricke 1902,Gomphonemataceae,Gomphonema,Gomphonema clevei,species,0,0,0,0,52.81,0.06
28,TCC510-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
29,TCC513-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
30,TCC523-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
31,TCC525-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
32,TCC526-Rbcl-1,Gomphonema affine Kutzing 1844,Gomphonemataceae,Gomphonema,Gomphonema affine,species,0,0,0,0,50.86,2.01
33,TCC529-Rbcl-1,Sellaphora nigri De Notaris C.E.Wetzel  L.Ector 2015,Sellaphoraceae,Sellaphora,Sellaphora nigri,species,0,0,0,0,52.81,0.06
34,TCC536-Rbcl-1,Gomphonema pumilum f. pumilum,Gomphonemataceae,Gomphonema,Gomphonema pumilum,form,0,0,0,0,52.81,0.06
35,TCC540-Rbcl-1,Mayamaea permitis Hustedt K.Bruder  L.K.Medlin 2008,Naviculaceae,Navicula,Mayamaea permitis,species,1,0,0,0,52.81,1.58
36,TCC545-Rbcl-1,Nitzschia costei L.Tudesque F.Rimet  L.Ector 2008,Bacillariaceae,Nitzschia,Nitzschia costei,species,1,1,0,0,48.9,3.96
37,TCC546-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
38,TCC550-Rbcl-1,Nitzschia costei L.Tudesque F.Rimet  L.Ector 2008,Bacillariaceae,Nitzschia,Nitzschia costei,species,1,1,0,0,48.9,3.96
39,TCC556-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
40,TCC560-Rbcl-1,Nitzschia acidoclinata Lange-Bertalot 1976,Bacillariaceae,Nitzschia,Nitzschia acidoclinata,species,0,0,0,0,50.86,2.01
41,TCC571-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
42,TCC572-Rbcl-1,Craticula molestiformis Hust. Lange-Bert.,Stauroneidaceae,Craticula,Craticula molestiformis,species,2,0,0,0,52.81,1.58
43,TCC578-Rbcl-1,Navicula capitatoradiata Germain,Naviculaceae,Navicula,Navicula capitatoradiata,species,0,0,0,0,50.86,2.01
44,TCC581-Rbcl-1,Mayamaea permitis Hustedt K.Bruder  L.K.Medlin 2008,Naviculaceae,Navicula,Mayamaea permitis,species,0,0,0,0,52.81,0.06
45,TCC582-Rbcl-1,Stephanocyclus meneghinianus Kutz. Skab.,Stephanodiscaceae,Cyclotella,Stephanocyclus meneghinianus,species,0,0,0,0,50.86,2.77
46,TCC592-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
47,TCC593-Rbcl-1,Gomphonema saprophilum Lange-Bertalot  Reichardt Monnier,Gomphonemataceae,Gomphonema,Gomphonema saprophilum,species,0,0,0,0,52.81,0.06
48,TCC602-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
49,TCC608-Rbcl-1,Pinnularia subgibba Krammer 1992,Pinnulariaceae,Pinnularia,Pinnularia subgibba,species,0,0,0,0,52.81,0.06
50,TCC619-Rbcl-1,Nitzschia acidoclinata Lange-Bertalot 1976,Bacillariaceae,Nitzschia,Nitzschia acidoclinata,species,0,0,0,0,50.86,2.01
51,TCC620-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
52,TCC622-Rbcl-1,Navicula cryptocephala Kutzing,Naviculaceae,Navicula,Navicula cryptocephala,species,0,0,0,0,50.86,2.01
53,TCC623-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
54,TCC653-Rbcl-1,Gomphonema saprophilum Lange-Bertalot  Reichardt Monnier,Gomphonemataceae,Gomphonema,Gomphonema saprophilum,species,0,0,0,0,52.81,0.06
55,TCC661-Rbcl-1,Craticula subminuscula Manguin Wetzel  Ector 2015,Stauroneidaceae,Craticula,Craticula subminuscula,species,0,0,0,0,50.86,2.01
56,TCC664-Rbcl-1,Gomphonema saprophilum Lange-Bertalot  Reichardt Monnier,Gomphonemataceae,Gomphonema,Gomphonema saprophilum,species,0,0,0,0,52.81,0.06
57,TCC666-Rbcl-1,Fragilaria gracilis strup 1910,Fragilariaceae,Fragilaria,Fragilaria gracilis,species,0,0,0,0,50.86,2.01
58,TCC669-Rbcl-1,Fragilaria H.C.Lyngbye 1819,Fragilariaceae,Fragilaria,nan,genus,0,0,0,0,50.86,2.01
59,TCC677-Rbcl-1,Fragilaria gracilis strup 1910,Fragilariaceae,Fragilaria,Fragilaria gracilis,species,0,0,0,0,50.86,2.01
60,TCC685-Rbcl-1,Psammothidium helveticum Hustedt L.N.Bukhtiyarova  Round 1996,Achnanthidiaceae,Psammothidium,Psammothidium helveticum,species,0,0,0,0,52.81,0.06
61,TCC692-Rbcl-1,Navicula cryptocephala Kutzing,Naviculaceae,Navicula,Navicula cryptocephala,species,0,0,0,0,50.86,2.01
62,TCC696-Rbcl-1,Achnanthidium minutissimum Kutzing Czarnecki 1994,Achnanthaceae,Achnanthes,Achnanthidium minutissimum,species,0,0,0,0,50.86,2.01
63,TCC698-Rbcl-1,Diatoma tenuis C.Agardh 1812,Fragilariaceae,Diatoma,Diatoma tenuis,species,0,0,0,0,52.81,0.06
64,TCC699-Rbcl-1,Ulnaria ulna Nitzsch P.Compere 2001,Fragilariaceae,Synedra,Ulnaria ulna,species,0,0,0,0,52.81,0.06
65,TCC700-Rbcl-1,Nitzschia draveillensis Coste  Ricard 1980,Bacillariaceae,Nitzschia,Nitzschia draveillensis,species,0,0,0,0,50.86,2.01
66,TCC714-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
67,TCC139-1-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
68,TCC139-2-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
69,TCC139-3-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
70,TCC301-Rbcl-1,Fragilaria crotonensis Kitton 1869,Fragilariaceae,Fragilaria,Fragilaria crotonensis,species,0,0,0,0,50.86,2.01
71,TCC302-Rbcl-1,Fragilaria crotonensis Kitton 1869,Fragilariaceae,Fragilaria,Fragilaria crotonensis,species,0,0,0,0,50.86,2.01
72,TCC304-Rbcl-1,Fragilaria crotonensis Kitton 1869,Fragilariaceae,Fragilaria,Fragilaria crotonensis,species,0,0,0,0,50.86,2.01
73,TCC306-Rbcl-1,Ulnaria ulna Nitzsch P.Compere 2001,Fragilariaceae,Synedra,Ulnaria ulna,species,0,0,0,0,52.81,0.06
74,TCC353-Rbcl-1,Pantocsekiella costei Druart  F.Straub 1988 K.T.Kiss  Acs 2016,Stephanodiscaceae,Pantocsekiella,Pantocsekiella costei,species,0,0,0,0,50.86,2.01
75,TCC356-Rbcl-1,Stephanocyclus meneghinianus Kutz. Skab.,Stephanodiscaceae,Cyclotella,Stephanocyclus meneghinianus,species,0,0,0,0,50.86,2.01
76,TCC357-Rbcl-1,Stephanocyclus meneghinianus Kutz. Skab.,Stephanodiscaceae,Cyclotella,Stephanocyclus meneghinianus,species,0,0,0,0,50.86,2.01
77,TCC358-Rbcl-1,Stephanocyclus meneghinianus Kutz. Skab.,Stephanodiscaceae,Cyclotella,Stephanocyclus meneghinianus,species,0,0,0,0,50.86,2.01
78,TCC359-Rbcl-1,Stephanocyclus meneghinianus Kutz. Skab.,Stephanodiscaceae,Cyclotella,Stephanocyclus meneghinianus,species,0,0,0,0,50.86,2.01
79,TCC362-Rbcl-1,Asterionella formosa Hassall 1850,Fragilariaceae,Asterionella,Asterionella formosa,species,0,0,0,0,50.86,2.01
80,TCC365-Rbcl-1,Fragilaria nanoides Lange-Bertalot 1996,Fragilariaceae,Fragilaria,Fragilaria nanoides,species,0,0,0,0,50.86,2.01
81,TCC367-Rbcl-1,Fragilaria perminuta Krammer  Lange-Bertalot 2000,Fragilariaceae,Fragilaria,Fragilaria perminuta,species,0,0,0,0,50.86,2.01
82,TCC427-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
83,TCC428-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
84,TCC433-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
85,TCC434-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
86,TCC435-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
87,TCC438-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
88,TCC439-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
89,TCC442-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
90,TCC443-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
91,TCC444-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
92,TCC448-Rbcl-1,Navicula germainii Wallace,Naviculaceae,Navicula,Navicula germainii,species,0,0,0,0,50.86,2.01
93,TCC451-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
94,TCC452-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
95,TCC453-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
96,TCC456-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
97,TCC460-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
98,TCC462-Rbcl-1,Sellaphora saugerresii Desmazieres C.E.Wetzel  D.G.Mann 2015,Sellaphoraceae,Sellaphora,Sellaphora saugerresii,species,0,0,0,0,52.81,0.06
99,TCC463-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
100,TCC464-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
101,TCC465-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
102,TCC466-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
103,TCC474-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,1,0,0,0,50.86,3.53
104,TCC476-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
105,TCC477-Rbcl-1,Halamphora montana Krasske Levkov 2009,Amphipleuraceae,Halamphora,Halamphora montana,species,0,0,0,0,52.81,0.06
106,TCC479-Rbcl-1,Halamphora montana Krasske Levkov 2009,Amphipleuraceae,Halamphora,Halamphora montana,species,0,0,0,0,52.81,0.06
107,TCC480-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
108,TCC481-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,52.81,0.06
109,TCC483-Rbcl-1,Mayamaea permitis Hustedt K.Bruder  L.K.Medlin 2008,Naviculaceae,Navicula,Mayamaea permitis,species,0,0,0,0,52.81,0.06
110,TCC485-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
111,TCC486-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
112,TCC488-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
113,TCC492-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
114,TCC494-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
115,TCC495-Rbcl-1,Navicula cryptotenella Lange-Bertalot,Naviculaceae,Navicula,Navicula cryptotenella,species,0,0,0,0,50.86,2.01
116,TCC496-Rbcl-1,Lemnicola hungarica Grunow F.E.Round  P.W.Basson 1997,Achnanthidiaceae,Achnanthidium,Lemnicola hungarica,species,0,0,0,0,50.86,2.01
117,TCC497-Rbcl-1,Pinnularia microstauron Mayer 1913,Pinnulariaceae,Pinnularia,Pinnularia microstauron,species,0,0,0,0,52.81,0.06
118,TCC498-Rbcl-1,Nitzschia inconspicua Grunow 1862,Bacillariaceae,Nitzschia,Nitzschia inconspicua,species,0,0,0,0,50.86,2.01
119,TCC499-Rbcl-1,Placoneis elginensis W.Greg. Cox,Cymbellaceae,Placoneis,Placoneis elginensis,species,0,0,0,0,50.86,2.01
120,TCC502-Rbcl-1,Navicula rostellata Kutzing,Naviculaceae,Navicula,Navicula rostellata,species,0,0,0,0,50.86,2.01
121,TCC503-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
122,TCC504-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
123,TCC505-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
124,TCC506-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
125,TCC514-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
126,TCC515-Rbcl-1,Navicula cryptocephala Kutzing,Naviculaceae,Navicula,Navicula cryptocephala,species,0,0,0,0,50.86,2.01
127,TCC516-Rbcl-1,Nitzschia lorenziana Grunow 1879,Bacillariaceae,Nitzschia,Nitzschia lorenziana,species,1,0,0,0,52.81,1.58
128,TCC517-Rbcl-1,Sellaphora nigri De Notaris C.E.Wetzel  L.Ector 2015,Sellaphoraceae,Sellaphora,Sellaphora nigri,species,0,0,0,0,52.81,0.06
129,TCC520-Rbcl-1,Ulnaria ulna Nitzsch P.Compere 2001,Fragilariaceae,Synedra,Ulnaria ulna,species,0,0,0,0,52.81,0.06
130,TCC521-Rbcl-1,Nitzschia costei L.Tudesque F.Rimet  L.Ector 2008,Bacillariaceae,Nitzschia,Nitzschia costei,species,1,1,0,0,48.9,3.96
131,TCC522-Rbcl-1,Ulnaria ulna Nitzsch P.Compere 2001,Fragilariaceae,Synedra,Ulnaria ulna,species,0,0,0,0,52.81,0.06
132,TCC524-Rbcl-1,Sellaphora nigri De Notaris C.E.Wetzel  L.Ector 2015,Sellaphoraceae,Sellaphora,Sellaphora nigri,species,0,0,0,0,52.81,0.06
133,TCC528-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
134,TCC530-Rbcl-1,Navicula capitatoradiata Germain,Naviculaceae,Navicula,Navicula capitatoradiata,species,0,0,0,0,50.86,2.01
135,TCC531-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
136,TCC532-Rbcl-1,Melosira varians C.Agardh 1827,Melosiraceae,Melosira,Melosira varians,species,0,0,0,0,50.86,2.01
137,TCC533-Rbcl-1,Nitzschia fonticola Grunow Grunow 1881,Bacillariaceae,Nitzschia,Nitzschia fonticola,species,0,0,0,0,52.81,0.06
138,TCC534-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
139,TCC535-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
140,TCC537-Rbcl-1,Nitzschia acidoclinata Lange-Bertalot 1976,Bacillariaceae,Nitzschia,Nitzschia acidoclinata,species,0,0,0,0,50.86,2.01
141,TCC538-Rbcl-1,Nitzschia acidoclinata Lange-Bertalot 1976,Bacillariaceae,Nitzschia,Nitzschia acidoclinata,species,0,0,0,0,50.86,2.01
142,TCC539-Rbcl-1,Ulnaria acus Kutzing M.Aboal 2003,Fragilariaceae,Synedra,Ulnaria acus,species,0,0,0,0,52.81,0.06
143,TCC541-Rbcl-1,Fragilaria agnesiae Kahlert  Rimet 2019,Fragilariaceae,Fragilaria,Fragilaria agnesiae,species,0,0,0,0,50.86,2.01
144,TCC544-Rbcl-1,Sellaphora nigri De Notaris C.E.Wetzel  L.Ector 2015,Sellaphoraceae,Sellaphora,Sellaphora nigri,species,0,0,0,0,52.81,0.06
145,TCC548-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
146,TCC549-Rbcl-1,Nitzschia costei L.Tudesque F.Rimet  L.Ector 2008,Bacillariaceae,Nitzschia,Nitzschia costei,species,1,1,0,0,48.9,3.96
147,TCC551-Rbcl-1,Nitzschia costei L.Tudesque F.Rimet  L.Ector 2008,Bacillariaceae,Nitzschia,Nitzschia costei,species,1,1,0,0,48.9,3.96
148,TCC552-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
149,TCC553-Rbcl-1,Fragilaria agnesiae Kahlert  Rimet 2019,Fragilariaceae,Fragilaria,Fragilaria agnesiae,species,0,0,0,0,50.86,2.01
150,TCC554-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
151,TCC557-Rbcl-1,Fistulifera saprophila Lange-Bertalot  Bonik Lange-Bertalot 1997,Naviculaceae,Navicula,Fistulifera saprophila,species,0,0,0,0,52.81,0.06
152,TCC558-Rbcl-1,Fragilaria agnesiae Kahlert  Rimet 2019,Fragilariaceae,Fragilaria,Fragilaria agnesiae,species,0,0,0,0,50.86,2.01
153,TCC559-Rbcl-1,Fragilaria H.C.Lyngbye 1819,Fragilariaceae,Fragilaria,nan,genus,0,0,0,0,50.86,2.01
154,TCC561-Rbcl-1,Sellaphora saugerresii Desmazieres C.E.Wetzel  D.G.Mann 2015,Sellaphoraceae,Sellaphora,Sellaphora saugerresii,species,0,0,0,0,50.86,2.01
155,TCC562-Rbcl-1,Fragilaria H.C.Lyngbye 1819,Fragilariaceae,Fragilaria,nan,genus,0,0,0,0,50.86,2.01
156,TCC563-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
157,TCC564-Rbcl-1,Achnanthidium minutissimum Kutzing Czarnecki 1994,Achnanthaceae,Achnanthes,Achnanthidium minutissimum,species,0,0,0,0,50.86,2.01
158,TCC568-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
159,TCC569-Rbcl-1,Sellaphora saugerresii Desmazieres C.E.Wetzel  D.G.Mann 2015,Sellaphoraceae,Sellaphora,Sellaphora saugerresii,species,0,0,0,0,50.86,2.01
160,TCC570-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
161,TCC573-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
162,TCC575-Rbcl-1,Nitzschia tubicola Grunow 1880,Bacillariaceae,Nitzschia,Nitzschia tubicola,species,0,0,0,0,50.86,2.01
163,TCC576-Rbcl-1,Nitzschia gracilis Hantzsch 1860,Bacillariaceae,Nitzschia,Nitzschia gracilis,species,0,0,0,0,52.81,0.06
164,TCC577-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
165,TCC579-Rbcl-1,Nitzschia capitellata Hustedt 1922,Bacillariaceae,Nitzschia,Nitzschia capitellata,species,0,0,0,0,50.86,2.01
